Aeropuerto: 17
Fecha: 2024-01-03 15:39:00 | Uso: 0
Fecha: 2024-01-04 02:28:00 | Uso: 0
Fecha: 2024-01-04 17:17:00 | Uso: 1
Fecha: 2024-01-04 17:53:00 | Uso: 0
Aeropuerto: 23
Fecha: 2024-01-04 04:54:00 | Uso: 0
Fecha: 2024-01-04 10:16:00 | Uso: 0
Fecha: 2024-01-04 14:20:00 | Uso: 1
Fecha: 2024-01-04 14:46:00 | Uso: 0
Fecha: 2024-01-04 15:16:00 | Uso: 0
Fecha: 2024-01-04 15:47:00 | Uso: 0
Aeropuerto: 4
Fecha: 2024-01-03 06:02:00 | Uso: 2
Fecha: 2024-01-03 07:08:00 | Uso: 4
Fecha: 2024-01-03 07:24:00 | Uso: 4
Fecha: 2024-01-03 08:14:00 | Uso: 6
Fecha: 2024-01-03 09:12:00 | Uso: 8
Fecha: 2024-01-03 10:08:00 | Uso: 7
Fecha: 2024-01-03 10:15:00 | Uso: 9
Fecha: 2024-01-03 11:19:00 | Uso: 11
Fecha: 2024-01-03 12:15:00 | Uso: 13
Fecha: 2024-01-03 13:18:00 | Uso: 15
Fecha: 2024-01-03 13:21:00 | Uso: 14
Fecha: 2024-01-03 13:46:00 | Uso: 13
Fecha: 2024-01-03 14:01:00 | Uso: 9
Fecha: 2024-01-03 14:18:00 | Uso: 8
Fecha: 2024-01-03 14:21:00 | Uso: 8
Fecha: 2024-01-03 14:24:00 | Uso: 10
Fecha: 2024-01-03 14:47:00 | Uso: 9
Fecha: 2024-01-03 15:01:00 | Uso: 9
Fecha: 2024-01-03 15:22:00 | Uso: 9
Fecha: 2024-01-03 15:24:00 | Uso: 11
Fecha: 2024-01-03 15:29:00 | Uso: 11
Fecha: 2024-01-03 15:41:00 | Uso: 9
Fecha: 2024-01-03 15:59:00 | Uso: 7
Fecha: 2024-01-03 16:33:00 | Uso: 5
Fecha: 2024-01-03 16:52:00 | Uso: 4
Fecha: 2024-01-03 17:45:00 | Uso: 3
Fecha: 2024-01-03 18:56:00 | Uso: 2
Fecha: 2024-01-03 19:22:00 | Uso: 2
Fecha: 2024-01-04 06:58:00 | Uso: 2
Fecha: 2024-01-04 10:36:00 | Uso: 1
Fecha: 2024-01-04 14:01:00 | Uso: 1
Fecha: 2024-01-04 14:21:00 | Uso: 1
Fecha: 2024-01-04 16:52:00 | Uso: 1
Fecha: 2024-01-04 18:56:00 | Uso: 1
Fecha: 2024-01-05 08:34:00 | Uso: 0
Aeropuerto: 27
Fecha: 2024-01-03 16:48:00 | Uso: 3
Fecha: 2024-01-03 17:20:00 | Uso: 2
Fecha: 2024-01-03 18:20:00 | Uso: 1
Fecha: 2024-01-03 21:09:00 | Uso: 1
Fecha: 2024-01-03 22:11:00 | Uso: 1
Fecha: 2024-01-03 23:19:00 | Uso: 1
Fecha: 2024-01-03 23:25:00 | Uso: 1
Fecha: 2024-01-04 06:40:00 | Uso: 1
Fecha: 2024-01-04 09:31:00 | Uso: 0
Fecha: 2024-01-04 12:50:00 | Uso: 0
Fecha: 2024-01-04 16:14:00 | Uso: 0
Fecha: 2024-01-04 16:48:00 | Uso: 0
Fecha: 2024-01-04 17:47:00 | Uso: 0
Fecha: 2024-01-04 18:23:00 | Uso: 0
Fecha: 2024-01-04 20:33:00 | Uso: 0
Fecha: 2024-01-04 20:43:00 | Uso: 0
Fecha: 2024-01-04 21:39:00 | Uso: 0
Fecha: 2024-01-05 09:09:00 | Uso: 0
Fecha: 2024-01-05 10:10:00 | Uso: 0
Fecha: 2024-01-05 10:21:00 | Uso: 0
Fecha: 2024-01-05 11:20:00 | Uso: 0
Aeropuerto: 9
Fecha: 2024-01-03 14:53:00 | Uso: 0
Fecha: 2024-01-04 00:38:00 | Uso: 0
Fecha: 2024-01-04 00:40:00 | Uso: 1
Fecha: 2024-01-04 05:31:00 | Uso: 3
Fecha: 2024-01-04 07:21:00 | Uso: 2
Fecha: 2024-01-04 08:13:00 | Uso: 1
Fecha: 2024-01-04 08:54:00 | Uso: 0
Fecha: 2024-01-04 14:53:00 | Uso: 0
Fecha: 2024-01-04 18:06:00 | Uso: 0
Fecha: 2024-01-04 18:25:00 | Uso: 0
Fecha: 2024-01-04 19:17:00 | Uso: 0
Fecha: 2024-01-04 20:09:00 | Uso: 0
Fecha: 2024-01-04 20:38:00 | Uso: 0
Fecha: 2024-01-04 20:57:00 | Uso: 0
Aeropuerto: 14
Fecha: 2024-01-04 08:53:00 | Uso: 0
Fecha: 2024-01-04 11:58:00 | Uso: 0
Fecha: 2024-01-04 14:22:00 | Uso: 0
Fecha: 2024-01-04 16:49:00 | Uso: 0
Fecha: 2024-01-05 10:25:00 | Uso: 0
Fecha: 2024-01-05 11:21:00 | Uso: 0
Aeropuerto: 21
Fecha: 2024-01-04 12:22:00 | Uso: 0
Fecha: 2024-01-04 14:59:00 | Uso: 0
Fecha: 2024-01-04 15:37:00 | Uso: 0
Fecha: 2024-01-05 03:39:00 | Uso: 0
Fecha: 2024-01-05 11:59:00 | Uso: 0
Aeropuerto: 12
Fecha: 2024-01-04 05:31:00 | Uso: 0
Fecha: 2024-01-04 07:31:00 | Uso: 0
Fecha: 2024-01-04 11:27:00 | Uso: 0
Fecha: 2024-01-04 18:16:00 | Uso: 0
Fecha: 2024-01-04 23:47:00 | Uso: 0
Fecha: 2024-01-05 03:25:00 | Uso: 0
Fecha: 2024-01-05 07:57:00 | Uso: 0
Fecha: 2024-01-05 08:47:00 | Uso: 0
Aeropuerto: 3
Fecha: 2024-01-04 06:12:00 | Uso: 0
Fecha: 2024-01-04 08:50:00 | Uso: 1
Fecha: 2024-01-04 11:02:00 | Uso: 0
Aeropuerto: 2
Fecha: 2024-01-04 07:42:00 | Uso: 0
Fecha: 2024-01-04 08:00:00 | Uso: 0
Fecha: 2024-01-04 10:02:00 | Uso: 1
Fecha: 2024-01-04 14:20:00 | Uso: 0
Aeropuerto: 6
Fecha: 2024-01-03 17:02:00 | Uso: 0
Fecha: 2024-01-04 07:01:00 | Uso: 0
Fecha: 2024-01-04 10:14:00 | Uso: 0
Fecha: 2024-01-04 14:22:00 | Uso: 0
Fecha: 2024-01-04 15:10:00 | Uso: 0
Fecha: 2024-01-04 17:51:00 | Uso: 0
Fecha: 2024-01-04 17:52:00 | Uso: 0
Fecha: 2024-01-04 19:59:00 | Uso: 0
Fecha: 2024-01-04 23:15:00 | Uso: 0
Fecha: 2024-01-05 18:12:00 | Uso: 0
Aeropuerto: 7
Fecha: 2024-01-04 08:55:00 | Uso: 0
Fecha: 2024-01-04 11:39:00 | Uso: 0
Fecha: 2024-01-04 14:58:00 | Uso: 0
Fecha: 2024-01-05 01:04:00 | Uso: 0
Aeropuerto: 20
Fecha: 2024-01-03 19:41:00 | Uso: 1
Fecha: 2024-01-03 19:58:00 | Uso: 0
Fecha: 2024-01-03 20:21:00 | Uso: 0
Fecha: 2024-01-03 21:19:00 | Uso: 1
Fecha: 2024-01-03 23:29:00 | Uso: 0
Fecha: 2024-01-04 21:19:00 | Uso: 0
Fecha: 2024-01-04 23:46:00 | Uso: 0
Fecha: 2024-01-05 04:33:00 | Uso: 0
Fecha: 2024-01-05 04:41:00 | Uso: 0
Fecha: 2024-01-05 06:00:00 | Uso: 0
Aeropuerto: 1
Fecha: 2024-01-05 02:20:00 | Uso: 0
Fecha: 2024-01-05 03:46:00 | Uso: 0
Aeropuerto: 26
Fecha: 2024-01-04 11:05:00 | Uso: 1
Fecha: 2024-01-04 11:16:00 | Uso: 0
Fecha: 2024-01-04 12:39:00 | Uso: 1
Fecha: 2024-01-04 12:51:00 | Uso: 0
Fecha: 2024-01-05 06:12:00 | Uso: 0
Fecha: 2024-01-05 08:42:00 | Uso: 0
Aeropuerto: 29
Aeropuerto: 19
Fecha: 2024-01-04 11:08:00 | Uso: 1
Fecha: 2024-01-04 12:30:00 | Uso: 0
Aeropuerto: 10
Fecha: 2024-01-03 22:32:00 | Uso: 1
Fecha: 2024-01-04 04:07:00 | Uso: 0
Fecha: 2024-01-04 05:32:00 | Uso: 0
Fecha: 2024-01-04 06:27:00 | Uso: 1
Fecha: 2024-01-04 11:54:00 | Uso: 0
Fecha: 2024-01-04 13:58:00 | Uso: 0
Fecha: 2024-01-04 16:16:00 | Uso: 1
Fecha: 2024-01-04 19:47:00 | Uso: 1
Fecha: 2024-01-04 21:12:00 | Uso: 1
Fecha: 2024-01-04 21:31:00 | Uso: 1
Fecha: 2024-01-04 22:32:00 | Uso: 1
Fecha: 2024-01-05 04:07:00 | Uso: 0
Aeropuerto: 28
Fecha: 2024-01-03 19:03:00 | Uso: 1
Fecha: 2024-01-04 03:24:00 | Uso: 0
Aeropuerto: 18
Fecha: 2024-01-04 03:45:00 | Uso: 0
Fecha: 2024-01-04 06:42:00 | Uso: 0
Fecha: 2024-01-04 11:57:00 | Uso: 0
Fecha: 2024-01-04 14:34:00 | Uso: 0
Fecha: 2024-01-04 14:42:00 | Uso: 0
Fecha: 2024-01-05 01:21:00 | Uso: 0
Aeropuerto: 16
Fecha: 2024-01-04 10:09:00 | Uso: 0
Fecha: 2024-01-04 10:19:00 | Uso: 0
Fecha: 2024-01-04 17:04:00 | Uso: 0
Fecha: 2024-01-04 20:09:00 | Uso: 0
Fecha: 2024-01-04 22:11:00 | Uso: 0
Fecha: 2024-01-04 22:19:00 | Uso: 0
Aeropuerto: 11
Fecha: 2024-01-03 14:07:00 | Uso: 0
Fecha: 2024-01-03 20:07:00 | Uso: 0
Fecha: 2024-01-03 22:24:00 | Uso: 2
Fecha: 2024-01-04 05:25:00 | Uso: 1
Fecha: 2024-01-04 06:01:00 | Uso: 0
Fecha: 2024-01-04 08:47:00 | Uso: 0
Fecha: 2024-01-04 12:57:00 | Uso: 0
Fecha: 2024-01-04 15:51:00 | Uso: 0
Fecha: 2024-01-04 16:13:00 | Uso: 0
Fecha: 2024-01-04 20:58:00 | Uso: 0
Fecha: 2024-01-05 03:42:00 | Uso: 0
Fecha: 2024-01-05 04:33:00 | Uso: 0
Aeropuerto: 15
Fecha: 2024-01-04 16:11:00 | Uso: 0
Fecha: 2024-01-04 20:55:00 | Uso: 0
Fecha: 2024-01-05 00:00:00 | Uso: 0
Fecha: 2024-01-05 14:10:00 | Uso: 0
Aeropuerto: 24
Fecha: 2024-01-04 09:17:00 | Uso: 0
Fecha: 2024-01-04 13:00:00 | Uso: 0
Fecha: 2024-01-04 13:32:00 | Uso: 0
Fecha: 2024-01-05 01:03:00 | Uso: 0
Fecha: 2024-01-05 01:13:00 | Uso: 0
Fecha: 2024-01-05 16:05:00 | Uso: 0
Aeropuerto: 25
Aeropuerto: 13
Fecha: 2024-01-04 08:58:00 | Uso: 0
Fecha: 2024-01-04 09:56:00 | Uso: 0
Aeropuerto: 30
Fecha: 2024-01-03 19:56:00 | Uso: 1
Fecha: 2024-01-03 21:49:00 | Uso: 0
Fecha: 2024-01-04 06:36:00 | Uso: 0
Fecha: 2024-01-04 07:57:00 | Uso: 0
Fecha: 2024-01-04 10:28:00 | Uso: 0
Fecha: 2024-01-04 11:18:00 | Uso: 0
Fecha: 2024-01-04 14:12:00 | Uso: 0
Fecha: 2024-01-04 14:58:00 | Uso: 0
Fecha: 2024-01-04 22:42:00 | Uso: 0
Fecha: 2024-01-04 23:43:00 | Uso: 0
Aeropuerto: 22
Fecha: 2024-01-04 06:28:00 | Uso: 1
Fecha: 2024-01-04 06:50:00 | Uso: 1
Fecha: 2024-01-04 07:01:00 | Uso: 2
Fecha: 2024-01-04 07:21:00 | Uso: 1
Fecha: 2024-01-04 07:36:00 | Uso: 0
Fecha: 2024-01-04 07:39:00 | Uso: 0
Fecha: 2024-01-04 10:49:00 | Uso: 1
Fecha: 2024-01-04 11:22:00 | Uso: 0
Fecha: 2024-01-04 14:46:00 | Uso: 0
Fecha: 2024-01-04 14:48:00 | Uso: 0
Fecha: 2024-01-04 22:19:00 | Uso: 0
Fecha: 2024-01-04 22:58:00 | Uso: 0
Fecha: 2024-01-05 07:01:00 | Uso: 1
Fecha: 2024-01-05 07:43:00 | Uso: 0
Fecha: 2024-01-05 12:10:00 | Uso: 0
Fecha: 2024-01-05 21:45:00 | Uso: 0
Aeropuerto: 5
Fecha: 2024-01-04 13:18:00 | Uso: 0
Fecha: 2024-01-04 15:25:00 | Uso: 0
Fecha: 2024-01-04 16:43:00 | Uso: 0
Fecha: 2024-01-04 19:27:00 | Uso: 0
Aeropuerto: 8
