#Continente: America del Sur;;;;;;;;
1;SKBO;Bogota;Colombia;bogo;GMT-5;1350;Latitude: 4 42 5 N;Longitude: 74 8 49 W
2;SEQM;Quito;Ecuador;quit;GMT-5;1350;Latitude: 0 6 48 N;Longitude: 78 21 31 W
3;SVMI;Caracas;Venezuela;cara;GMT-4;1350;Latitude: 10 36 11 N;Longitude: 66 59 26 W
4;SBBR;Brasilia;Brasil;bras;GMT-3;1350;Latitude: 15 51 53 S;Longitude: 47 55 5 W
5;SPIM;Lima;Perú;lima;GMT-5;1350;Latitude: 12 1 19 S;Longitude: 77 6 52 W
6;SLLP;La Paz;Bolivia;lapa;GMT-4;1350;Latitude: 16 30 47 S;Longitude: 69 11 32 W
7;SCEL;Santiago de Chile;Chile;sant;GMT-3;1350;Latitude: 33 23 47 S;Longitude: 68 47 41 W
8;SABE;Buenos Aires;Argentina;buen;GMT-3;1350;Latitude: 34 33 33 S;Longitude: 58 24 56 W
9;SGAS;Asunción;Paraguay;asun;GMT-4;1350;Latitude: 25 14 24 S;Longitude: 57 31 12 W
10;SUAA;Montevideo;Uruguay;mont;GMT-3;1350;Latitude: 34 47 21 S;Longitude: 56 15 53 W
#Continente: Europa;;;;;;;    ;    
11;LATI;Tirana;Albania;tira;GMT+2;1350;Latitude: 41 24 53 N;Longitude: 19 43 14 E
12;EDDI;Berlin;Alemania;berl;GMT+2;1350;Latitude: 52 28 25 N;Longitude: 13 24 6 E﻿
13;LOWW;Viena;Austria;vien;GMT+2;1350;Latitude: 48 6 39 N;Longitude: 16 34 15 E
14;EBCI;Bruselas;Bélgica;brus;GMT+2;1350;Latitude: 50 27 33 N;Longitude: 4 27 13 E
15;UMMS;Minsk;Bielorrusia;mins;GMT+3;1350;Latitude: 53 52 57 N;Longitude: 28 1 57 E
16;LBSF;Sofia;Bulgaria;sofi;GMT+3;1350;Latitude: 42 41 25 N;Longitude: 23 24 17 E
17;LKPR;Praga;Checa;prag;GMT+2;1350;Latitude: 50 6 5 N;Longitude: 14 15 56 E
18;LDZA;Zagreb;Croacia;zagr;GMT+2;1350;Latitude: 45 44 34 N;Longitude: 16 4 7 E
19;EKCH;Copenhague;Dinamarca;cope;GMT+2;1350;Latitude: 55 37 5 N;Longitude: 12 39 22 E﻿
20;EHAM;Amsterdam;Holanda;amst;GMT+2;1350;Latitude: 52 18 0 N;Longitude: 4 45 54 E
#Continente: Asia;;;;;;;    ;    
21;VIDP;Delhi;India;delh;GMT+5;1350;Latitude: 28 33 59 N;Longitude: 77 6 11 E
22;OSDI;Damasco;Siria;dama;GMT+3;1350;Latitude: 33 24 41 N;Longitude: 36 30 56 E
23;OERK;Riad;Arabia Saudita;riad;GMT+3;1350;Latitude: 24 57 28 N;Longitude: 46 41 56 E
24;OMDB;Dubai;Emiratos A.U;emir;GMT+4;1350;Latitude: 25 15 10 N;Longitude: 55 21 52 E﻿
25;OAKB;Kabul;Afganistán;kabu;GMT+4;1350;Latitude: 34 33 56 N;Longitude: 69 12 39 E﻿
26;OOMS;Mascate;Oman;masc;GMT+4;1350;Latitude: 23 35 22 N;Longitude: 58 17 3 E
27;OYSN;Sana;Yemen;sana;GMT+3;1350;Latitude: 15 28 34 N;Longitude: 44 13 11 E
28;OPKC;Karachi;Pakistán;kara;GMT+5;1350;Latitude: 24 54 0 N;Longitude: 67 9 0 E
29;UBBB;Baku;Azerbaiyan;baku;GMT+2;1350;Latitude: 40 28 2 N;Longitude: 50 2 48 E
30;OJAI;Aman;Jordania;aman;GMT+3;1350;Latitude: 31 43 21 N;Longitude: 35 59 36 E
